Account ID,Account Handle
304746564,kurtwuckertjr
942477775243563011,handcashapp
173584668,JimmyWinSV
900507789017075712,RealCoinGeek
1097268244283559937,twetchapp
32318850,CalvinAyre
1074694505532715008,BitcoinAssn
1112602843112853506,relayxio
849408704751562755,nChainGlobal
45719896,shadders333
60405591,apagut
1210331258938691584,iamZatoshi
848656782289391616,coinyeezy
1489260991321759747,Dr_CSWright
168542135,cryptoAcorns
949416708690890752,Bitcoin_Beyond
1070845966213922817,Street5Wall
3075992550,BitcoinSVtrain
1011686391435034625,money_button
1087674049331834881,cryptorebel_SV
888500150133374976,_BitcoinSV
119633489,justicemate
528597095,connolly_dan
160164355,vegardwikeby
1200210436462759937,TaalBlockchain
871674632448991238,Centbee
892915205826646017,nondualrandy
59142196,sinoTrinity
36903049,DanielKrawisz
1075717589957918720,Tokenized_com
1105946811699744768,channelBSV
19475634,digitsu
991493656132468737,_unwriter
971581788685504512,CryptoFights
857998692,liujackc
144629482,JamesBelding
1319309852,paalsky
1067984168183783424,ElectrumSV
976014438036750336,elas_co
970487372453261312,Lise0508
19029599,nford
814125560,_electronicCash
1346255455849312257,hastearcade
1223953137259532288,Relicaworld
3890831716,bitcoinkaiser
1124678601402658816,tonicpow
1029900520608223233,BitcoinSVNode
1071091237820735488,MetanetIcu
1210662940090744836,JacksonLaskey
1112871024004018176,sv_weather
15830643,BWDaugherty
954490157603917824,Streaming_Sats
913933013620334592,CryptoAmerican
1081044141214060544,BsvDevs
1116605127517847553,FloatSVcom
1426278263928786945,MineLikeAnApe
1292417965535539201,tswap_io
919239134899834882,MSkieller
1326119279868174337,DXSapp
2842484892,VoltWallet
1180418293917614080,unboundedcap
21335196,ruthheasman
1003286097336590336,Streamanity
1067027174530711553,Rob_GCC
180314533,murphsicles
1449741161632043009,rarecandyio
22413277,wildsatchmo
877088696352342016,NickyNuBitcoin
139821349,eyeone
265103597,alex_moon89
1047121098066804736,HandCashConnect
1137159245936308224,BitpingApp
14629462,boaserichard
2344717311,btchudson
61797383,RebeccaLiggero
1094149265360805888,deanmlittle
1140526234067189760,SirToshiTV
2367271502,CryptoFactor
2800495464,Bitstocks_
1411263319860727810,womenofbsv
794951443811889152,brandonbryant02
2621187178,JackODavies_
314448575,1rootSV
1321581258166718466,InvestWithDiego
844619169178013697,darrenkromrey
539503933,TheMullenMuhr
982259444095397890,simplycashapp
993286823429451782,KanoTheTruth
1034107257724854272,sherryayurveda
854168147712233472,BGCryderman
1002393366536048640,AldersonBSV
1328966190,MZietzke
14605085,deLisserRobin
1081595030559694849,EquityDiamonds
1096359540688207872,zeroconfs1
1432496092407554049,Gopnikz
958830561002340352,SatoshiDoodles
19287846,chblm
319234278,AzhellTom
57320859,kenshishido
1101226158568419335,bsv_is_bitcoin
591606422,_rafa_js
1161367410,TheAttilaAros
1920456805,SebPloetzeneder
3019240946,bullish_art
1226278989259591680,FabriikWallet
1060065901599514624,BHoarder1
974872388,JoelDalais
801031677283889152,libitx
1413370232,RamonQuesadaT
951767349362855936,disco_donald
1075504219279503364,OmniscapeXr
1072807529980129281,BSV_Watchdog
927679560333824000,BSVBoom
976610389353025537,cryptol82603035
9206512,gamaroff
1199495193528979457,Antmantime
18998400,BitCoinDevotee
1356990207090778112,egglrd
29009851,brianarundel
848580518308265984,FuturealSam
789057065100701696,5omni
1067420633615802369,oudekaas3
1411372562517536775,Block_Dojo
1030798805527089152,BillyBitcoins
1049658398994849794,UNISOT_
1125995070639837184,artonchain
431900712,CaptinBitcoin
42180134,deggen
1562041328,hbeckeri
933115515446337537,ApesAndStocks
179461935,m_murfy
1384411003,Manifestable
1070061706095796224,MetanetTech
15060356,torusJKL
1312059057042202624,Brendan_Lee__
982639442,PaulRaj12000
1068547117101268995,WhatsOnChain
843531873674387456,BitcoinSV2022
2447313385,Deadlochcom
1364343822176641026,DaoGorilla
725955748275064832,MemeFaust
25949466,hlopez_
388801588,twetchawk
1093668171544899584,BsvCommunity
1272629075278888961,MetaStreme
1398786650113810433,realworldBSV
802278681691328512,derekm00r3
44831181,TweetyBirdbrain
1086381837843353601,BitsComplicated
1246218507869700097,BernhardCenti
1003767567398338560,RadiantLayerOne
1120820380367765504,agora_icu
1136190411859529728,GravityEco
1102283546830360577,synfonaut
1196441744495300608,MichaelWehrmann
949609567801040896,laurabitcoinsv
1395484425790558211,DuroDogs
1339021702676819968,PayPistol
1344017447301464064,GeorgeSiosi
1083359119711629312,prinzAT
1311694135838101506,UnboundedEnt
993948455146942464,L0R4X
14262197,siosism
385638183,therebelpath
1371992882144542727,hqbsv
1149195007993057280,cityonchain
1176600966516355072,britevue
986077397920505856,mxtterpool
914366057741041664,jaytea_bsv
138132585,shu_BSV
21878554,scottjbarr
1355618645758664704,BigBlockTesters
2375721396,Satoshi_N_
1458591329454366725,BasedApes
26030056,urbanarson
1027593114956058624,BitcoinSofia
1189446089969025025,PeergameEng
20779217,Eastifer
1090430901761105920,BicoDotMedia
276186099,jadwahab
1176844403693850625,wallet_dot
807325612587253762,SteinLudvigsen
16471647,isaacmorehouse
1451015487085707266,OniSociety
1411263458608402433,WoBSV
1040145733947600896,mempool_com
1143664603601211393,JumpstarterSV
967388003193769986,ari_offchain
2376797756,Cirus001
9162122,shruggr
2842264334,jyezyy
2787306236,MasumiHamahira
1224812549885046784,HelloSynerio
1015935704239468544,faiabrand
1488588538363125760,runonbsv
869786496378650624,YobitsVision
3144915679,gavinlucas110
1154987298800324608,realsirquacks
315527421,TK_Coleman
782999317262901248,coinspeak_io
775158541120315392,two2wheel2life
2431546777,vamosvigilante
8301692,linzheming
1415882538162298887,BrittanyBitz
1403124573520818176,Bitcoinassassi7
2741408725,crea_official
1153646894205136896,RateSV1
1331694269732511744,metathomist
837530209301606400,ctblizzard
216633271,1liamchai
1024574032656576512,PixelWallet
1340318517808295936,RusBitcoin
1242374865283235840,SvNote
1302657939036139521,satolearn
1372565090965274626,nftyjigs
1293463233471352832,mintBlue_com
163882184,agsupun
1254652519340482560,AppTestBSV
1008392363738386433,FromArise
1222306016034992128,blarecast
2255960832,excalibur0922
1453938204936060928,AccordMoney
1328819915550289927,canonicxyz
573643231,dailyzhou
1181828826206109697,showpayio
1412516755801612288,FabriikX
1187762457131048961,sv_chat
776264787265200128,Orctep
913834531186192384,getpaypow
95115126,rory_macdonald
237197371,TurkeyChop
340156842,rita_angela
1302658790379130882,Vaionex_Corp
2428792844,bsvguru
819241446066659328,movieseals
839443852557709314,TheFeelogical
479185179,paulee_paul
2932111,newfish
4418970634,OnWindowly
2395318063,_Kevin_Pham
1454220738836189191,FrogCartelNFT
1351200570573549569,meta_desk
31803295,BSVBlockchain
20316154,brad1121
817001751656144896,KPDAD72
100881917,Manse111
1295431516198141957,AyreVentures
892140507505332225,marxbys
1608992342,dmkgll
1103713564542554114,CallisOsmin
1160718925048320000,BitSVNetwork
988993104752594944,imWalterW
18266720,jeffmaxthon
895590566280417281,libertytxn
22495318,T38
1433188137547833345,novoyoyo
2923910827,preev_
920252548103237632,Gate2Chain
1089264860725166081,BitcoinFiles
1075886517178982400,Daniel19jPro
1408351012159516673,bsvdata
1428762332537266181,PartyPew
7343782,ruidasilva
886885931004813312,JGPI2017
895728269554733056,IreneKlaver
1469019376758099972,TakeItNFT
1063282248877633537,hellodagashi
775278091,CryptoPlunderer
1276006495180804097,BSVFree
2955613496,_Brian_Harris
1466215194095407104,bitister
1247911352175230976,jteck1sv
1403336845564559371,shift_observer
